Geneid	Chr	Start	End	Strand	Length	SRR20959676_C	SRR20959677_C	SRR20959678_C	SRR20959679_C	SRR20959680_A	SRR20959681_A	SRR20959682_A
ENSB:a2pfufveK6j7nBl	Chromosome	34513	35769	+	1257	0	6	160	0	0	0	2
ENSB:5FmjvvpvsUtEBOj	Chromosome	35877	36551	-	675	0	0	0	0	0	0	0
ENSB:iHJ4G8JCfskjhKZ	Chromosome	36809	36976	+	168	0	0	0	0	0	0	0
ENSB:Z7hzcSE4ElA2lhq	Chromosome	37813	38556	+	744	1	6	22	1	0	1	5
ENSB:J8zfd5aTfklp1si	Chromosome	38653	39081	+	429	1	0	1	0	0	0	1
ENSB:OASaQo7FjtYs4jH	Chromosome	39127	41133	-	2007	2	375	4	2	0	3	2
ENSB:4z6pLXzykSApO88	Chromosome	41233	42219	+	987	1	139	1	1	2	4	2
ENSB:TT-7sL1yt6zlV7K	Chromosome	42191	42451	+	261	0	52	0	0	0	3	0
ENSB:cxkjdvmBtu-WBJz	Chromosome	42442	43965	-	1524	0	3	0	0	0	0	2
ENSB:fpGLpkm9OJzSPiM	Chromosome	44101	44607	-	507	0	14	0	0	0	0	0
ENSB:POh5MC_zrZ6Gy0y	Chromosome	44622	44933	-	312	0	7	0	0	0	0	0
ENSB:o4smuXmFd-qTtd8	Chromosome	44935	45027	-	93	0	3	0	0	0	0	0
ENSB:6e9n2VkeiCmLbqF	Chromosome	45020	45370	-	351	1	16	0	2	0	0	0
ENSB:ZyAhfadsMqKMpZX	Chromosome	45892	47520	-	1629	2	49	11	4	7	4	12
ENSB:xatwYqaCb3kvWUm	Chromosome	47542	48891	-	1350	1	54	3	1	4	3	2
ENSB:iYwDpqxGhxvgsB6	Chromosome	49125	50912	-	1788	6	18	3	0	4	0	6
ENSB:cahEzoniTPrgA7h	Chromosome	50912	51202	-	291	0	0	0	0	0	1	0
ENSB:5KErGVZfhUgAg30	Chromosome	51341	52390	+	1050	0	0	1	0	1	0	0
ENSB:198tw6deSB7R1OQ	Chromosome	53118	54608	+	1491	1	0	1	0	1	0	0
ENSB:JZUJR9doSO3QrQZ	Chromosome	55232	56236	-	1005	1	0	1	3	1	0	0
ENSB:LB9wK4G7rLNKQYP	Chromosome	56489	56860	+	372	1	1	0	0	0	2	1
ENSB:Ia43-XLTfDTQsFx	Chromosome	56989	57609	+	621	0	1	0	0	0	2	0
ENSB:Sy8NpVdruxoo96r	Chromosome	58526	58696	-	171	0	0	0	0	0	0	0
ENSB:7xQAjblzsoItnwL	Chromosome	59098	60063	+	966	1	0	1	0	0	0	1
ENSB:4iC6mSazK8KhvRv	Chromosome	60443	60772	+	330	0	0	1	0	0	0	1
ENSB:WpN8kWHpViiJEs1	Chromosome	60849	61208	-	360	0	0	0	0	1	0	0
ENSB:992EQZvKsjJ8JtH	Chromosome	61779	62588	-	810	0	0	0	0	0	0	0
ENSB:eKdv5DjyF3N2NRe	Chromosome	63100	63597	-	498	0	1	0	1	0	1	3
ENSB:Za6tN7TgddMCBp_	Chromosome	64095	65222	+	1128	0	0	0	2	2	0	1
ENSB:7on_Aktw1nw1UDe	Chromosome	65477	65701	-	225	0	0	1	0	1	1	0
ENSB:svuhIaghLfigMDm	Chromosome	65715	66218	-	504	0	0	1	0	0	0	1
ENSB:JfT8bTjEY9NkPl8	Chromosome	66234	66545	-	312	0	0	0	0	0	0	0
ENSB:5d1Ss8PZyFYlgGP	Chromosome	66547	66639	-	93	0	0	0	0	0	0	0
ENSB:yuIoHSYlpS1XLGk	Chromosome	66632	66982	-	351	0	3	0	0	0	0	0
ENSB:Sj5YdzpO2MmerRb	Chromosome	67939	68790	+	852	0	0	0	1	0	0	1
ENSB:bCp0j8llaVy4HpH	Chromosome	68890	69819	-	930	0	0	3	0	1	0	1
ENSB:Qj8-JaaHIUpIV28	Chromosome	69839	70837	-	999	0	0	0	1	0	15	27
ENSB:zIcrUfjbyqvq1B5	Chromosome	70875	71564	-	690	0	0	1	0	0	0	1
ENSB:j8jkXo5Cqc37lg6	Chromosome	71606	73027	-	1422	1	0	0	0	0	0	4
ENSB:9mFgcGzBKNEShmF	Chromosome	73113	74348	-	1236	0	0	0	2	1	0	0
ENSB:KFCkmvAd5aV0ZTF	Chromosome	74617	75063	-	447	0	1	0	0	0	0	0
ENSB:wlL_N2d3lYjOu3_	Chromosome	75565	75996	+	432	0	0	0	0	0	1	0
ENSB:GDvAlU-TWtjUbVs	Chromosome	76269	76514	+	246	0	0	0	1	0	0	0
ENSB:Pz5Eddm9uY3O813	Chromosome	77130	77945	+	816	0	0	0	0	0	0	0
ENSB:XOzvf3McL1v3Ncv	Chromosome	78372	79445	+	1074	0	0	16	0	0	0	1
ENSB:uIVVpkxQEnMyoP4	Chromosome	79705	80397	+	693	0	0	0	0	0	1	1
ENSB:zfoQVjyM4G1LA3R	Chromosome	80394	81947	+	1554	1	0	2	1	0	0	0
ENSB:R2oyep-H82eBDJS	Chromosome	81950	82906	+	957	2	0	0	1	0	0	0
ENSB:vokNp3d0BDNbkTX	Chromosome	82906	83673	+	768	1	1	1	3	0	3	2
ENSB:Y3Kmzu2VyUuU3RT	Chromosome	83640	84407	+	768	1	0	1	1	1	1	0
ENSB:AcGybAhP3TnQbiG	Chromosome	84400	85035	+	636	1	0	0	0	0	1	0
ENSB:718jqSLANZ2tN0w	Chromosome	86055	88118	+	2064	0	0	8	0	0	0	2
ENSB:oYSP14X6qfW5Ljv	Chromosome	88136	88681	+	546	0	0	0	0	0	0	0
ENSB:ge21xUH5QxloLyC	Chromosome	89446	91197	+	1752	1	7	11	6	12	2	4
ENSB:3T-_MIoJVPvu7LD	Chromosome	91291	91743	-	453	22	9	0	0	12	0	0
ENSB:lSDetcW_N_hjGJR	Chromosome	91958	92713	-	756	8	36	0	7	46	0	27
ENSB:BUXamr-Heqjq0V_	Chromosome	92713	92973	-	261	3	18	1	3	23	0	7
ENSB:ad3d1U5M6pQjtLr	Chromosome	93110	94177	+	1068	40	40	1	16	62	0	21
ENSB:lV6-nEvep4J7_yd	Chromosome	94208	95542	+	1335	314	280	4	93	719	6	107
ENSB:Ldq5ekqj3Jsiz6s	Chromosome	95561	95815	+	255	77	76	0	43	150	0	50
ENSB:j6zdC8QEEbnNEH2	Chromosome	96065	96754	+	690	222	137	2	91	304	0	87
ENSB:_dB7kxqcx-tL6bd	Chromosome	97421	98407	-	987	27	34	20	26	43	15	37
ENSB:caYnQkBKBXVnyLE	Chromosome	98968	99264	+	297	0	0	0	0	0	4	0
ENSB:uqLxGTEVpr5ZhNg	Chromosome	99336	100556	-	1221	5	0	1	1	1	0	9
ENSB:LttPNbvqUzl1uIx	Chromosome	100549	101034	-	486	0	0	12	0	1	0	2
ENSB:_UTOUobrU7usDiJ	Chromosome	101212	102072	+	861	0	0	12	0	0	1	0
ENSB:yqE5OJolILMQuLj	Chromosome	102427	102960	-	534	0	0	0	0	0	2	0
ENSB:oDQ97FE_OC6kJeo	Chromosome	103060	103794	+	735	0	0	0	0	1	0	0
ENSB:LLkwms_Qe1qsZ8t	Chromosome	104228	104830	+	603	2	22	24	16	34	10	0
ENSB:sqevWyZMjcBQTXU	Chromosome	105097	108249	+	3153	4	5	6	6	12	0	2
ENSB:k6YWq_cGondkgHy	Chromosome	108306	108788	+	483	0	0	0	1	0	0	0
ENSB:ygIHsO7mEudx6Tr	Chromosome	108993	109979	+	987	3	1	0	0	1	0	0
ENSB:9RPUfiWE0FJCXAk	Chromosome	110200	110970	+	771	0	0	12	0	0	0	1
ENSB:jVI1_9iMQ84HLNc	Chromosome	110989	111792	+	804	0	0	2	0	0	0	0
ENSB:-yfCJiDsIyEkepP	Chromosome	111856	112626	+	771	0	0	0	0	0	0	0
ENSB:QxVpidkjQAe1FSP	Chromosome	112693	113460	+	768	0	4	1	9	2	7	2
ENSB:EmEGcpjVcxnq8OY	Chromosome	113554	115791	+	2238	112	47	35	72	97	119	171
ENSB:NJ9A17p2md5sSOm	Chromosome	115942	117120	+	1179	122	2	0	96	112	42	39
ENSB:GvHn2TuMwn16lft	Chromosome	117122	118510	+	1389	232	36	44	336	220	132	49
ENSB:g42NlzhXP8pCdld	Chromosome	119003	120670	-	1668	476	71	275	281	286	299	1934
ENSB:vy1dbSZBK7kQbnw	Chromosome	120990	122765	-	1776	564	37	192	534	180	44	94
ENSB:sA-U7WqSGPvx2vU	Chromosome	122939	123811	-	873	1	0	0	2	1	0	1
ENSB:LYi9T3Bv2_c8xVc	Chromosome	123924	125321	+	1398	2	1	0	1	3	3	1
ENSB:r7wfr9PpCczP8DP	Chromosome	125511	125984	+	474	2	0	21	7	24	12	1
ENSB:aF-4J3PwnFGvNLy	Chromosome	126246	127838	+	1593	103	19	51	96	66	36	338
ENSB:c8B5NXaUurssWLQ	Chromosome	128167	129693	-	1527	155	30	267	4	40	54	663
ENSB:uxs6X8EHav6SgbO	Chromosome	130114	130866	-	753	22	4	113	9	12	6	19
ENSB:wwDiQJZYnfHH6jL	Chromosome	131235	132233	-	999	43	6	10	12	8	4	46
ENSB:29jbJ5LhnKnFQ4Z	Chromosome	132230	133225	-	996	12	4	2	28	9	10	46
ENSB:CB73Q9GcPN9gcJD	Chromosome	133241	134233	-	993	6	2	8	1	12	8	6
ENSB:drxgd1Z27dd4ctu	Chromosome	134464	135444	+	981	1	0	0	0	1	1	4
ENSB:Nm1ZF6dMoH2FAyq	Chromosome	135441	136451	+	1011	4	0	1	1	3	3	8
ENSB:8J-rBZ6StkRn1Mm	Chromosome	136472	138226	+	1755	15	0	9	13	6	12	44
ENSB:pABcsO4jC2kuEhc	Chromosome	138303	139475	+	1173	28	0	37	16	9	2	38
ENSB:poSEXlcwxmd2Z4f	Chromosome	139465	141201	+	1737	6	0	21	22	4	9	75
ENSB:OpgqYB8K1tBxffy	Chromosome	141182	142960	+	1779	34	7	43	12	16	10	59
ENSB:X2OuT3eSNkcxn3W	Chromosome	142932	143711	+	780	57	2	11	8	45	30	25
ENSB:Ykk2OLYx_6OXGgP	Chromosome	143711	144913	+	1203	35	10	16	17	14	14	14
ENSB:cadPV920DtDZbd0	Chromosome	144917	145681	+	765	7	1	6	0	0	0	8
ENSB:kcF8CpkT5KIK6Js	Chromosome	145877	146284	+	408	6	0	0	0	0	0	0
ENSB:ICLM_Onj41yzvgJ	Chromosome	146334	146960	+	627	2	0	0	0	1	0	0
ENSB:7YA8io8DK1qX774	Chromosome	147172	147948	+	777	17483	1509	6287	21904	12926	4164	7345
ENSB:JdVRcOZzEsvmlVw	Chromosome	148293	149264	+	972	1	1	3	0	1	4	0
ENSB:8snfuq0VsoSNkdA	Chromosome	149227	149919	+	693	0	0	8	0	3	0	0
ENSB:xQDz33DKwhCcefP	Chromosome	150129	151295	+	1167	4	1	1	3	6	4	0
ENSB:jcXZagfMbCcVlrv	Chromosome	151276	152514	+	1239	0	0	1	0	1	0	4
ENSB:oqmjG5njJYPTCSc	Chromosome	152504	153934	+	1431	10	24	16	12	26	37	46
ENSB:iSMYghn7GzN6HCN	Chromosome	154202	154801	+	600	7	0	2	0	8	6	16
ENSB:uZfO6GYCzrZn2Xi	Chromosome	155169	155894	+	726	1416	68	264	198	182	39	2
ENSB:svS2Nq-ScRxLWSw	Chromosome	156086	156826	-	741	134	41	101	30	56	32	126
ENSB:yjK93Ikc8OBs1pW	Chromosome	157077	157784	+	708	29	11	20	14	0	5	58
ENSB:9jizb7PXuXUVK1h	Chromosome	157785	159143	+	1359	48	5	114	75	34	18	106
ENSB:NF9sl69kM15ZhQL	Chromosome	159224	159886	+	663	120	11	122	175	55	46	357
ENSB:HQvwsy3EtkkHUi1	Chromosome	159914	161092	+	1179	660	230	428	679	678	242	2452
ENSB:BHXiekQxaxR33Ds	Chromosome	161223	162038	-	816	35	4	0	6	14	4	99
ENSB:-fGqyQYo6p6Wtnw	Chromosome	162035	162835	-	801	31	16	15	13	27	12	151
ENSB:xhCuJjJDYfwdjdm	Chromosome	162837	163610	-	774	20	2	1	0	14	2	53
ENSB:d10zzeBxG9ECI9O	Chromosome	163824	164780	-	957	6	0	8	4	0	2	45
ENSB:ENm0ith4tbV9Tvh	Chromosome	165009	166553	+	1545	21	16	2	4	28	6	77
ENSB:TiZVsPUUKQ6quZx	Chromosome	166604	168139	+	1536	14	20	14	38	72	26	130
ENSB:Wzg1Gvjj3Rjr2gk	Chromosome	168487	168585	-	99	0	0	0	0	0	0	0
ENSB:AkS-TuRaE7eeUoI	Chromosome	168799	169284	+	486	0	0	0	0	0	0	4
ENSB:hPQCeXboOAE0a4i	Chromosome	169269	169559	+	291	0	0	0	0	0	0	0
ENSB:do_ogMmHlzQC18V	Chromosome	170536	170757	+	222	0	0	0	0	1	0	0
ENSB:5gYusFwEIWFwvrv	Chromosome	171207	173816	+	2610	64	7	83	41	32	18	457
ENSB:h6jdBFM4sUCOlKq	Chromosome	174161	174829	+	669	52	12	9	29	24	0	40
ENSB:Rc_6LbQoOR5V_eP	Chromosome	174845	175531	+	687	487	132	223	733	500	28	494
ENSB:f43iZc8JN3lT9KJ	Chromosome	175534	176298	+	765	68	55	29	88	99	13	110
ENSB:mzZ17FPrmqXpOuJ	Chromosome	176318	177322	+	1005	144	16	129	104	45	5	66
ENSB:6yj97O5BmIcRfDt	Chromosome	177288	178142	+	855	307	18	50	123	74	10	72
ENSB:qvFnwwRyxXkCdvg	Chromosome	178132	179160	+	1029	127	22	16	71	104	4	251
ENSB:u8ul6YbLjtNM9NQ	Chromosome	179173	180282	+	1110	262	43	218	155	143	4	211
ENSB:MQrxu3gFMx2aGQ5	Chromosome	180286	181410	+	1125	211	90	163	174	117	1	126
ENSB:my3VgbEnm5TQfjO	Chromosome	181413	182039	+	627	4	46	10	55	74	0	1
ENSB:AlWEuEedAR9VEa4	Chromosome	182044	183153	+	1110	2	77	106	37	90	3	0
ENSB:MIL9QGQJnJHYH_D	Chromosome	183167	184333	+	1167	0	23	131	43	92	1	19
ENSB:e3zOfXdENU_NMqZ	Chromosome	184326	185531	+	1206	8	26	140	20	33	1	5
ENSB:E9enVfQBCTz_agB	Chromosome	185532	186737	+	1206	550	75	145	353	410	11	94
ENSB:qmvYdjyu16d37Lo	Chromosome	186748	187305	+	558	48	27	26	25	40	2	24
ENSB:QQ1AxvhzOgRuZLm	Chromosome	187305	188192	+	888	1033	227	284	697	712	24	511
ENSB:bJh-IcCDM85ic_n	Chromosome	188246	189508	+	1263	752	278	237	440	454	20	564
ENSB:jVupKEO_N6J3ffV	Chromosome	189585	190730	+	1146	243	47	29	134	172	6	99
ENSB:F0qFz-Sl2kzey3s	Chromosome	190795	191121	-	327	8	8	0	2	1	0	9
ENSB:KAh-8kMavgXfveL	Chromosome	191128	191511	-	384	12	10	1	2	1	1	2
ENSB:ibomEzOX2yRPMd0	Chromosome	191938	193425	+	1488	16283	1346	4734	7534	9915	11121	23035
ENSB:igxtwXKS1TXBwjB	Chromosome	194071	195030	+	960	276	101	65	135	176	77	207
ENSB:Pl4cxYAV4gjqzbK	Chromosome	195092	195295	-	204	34	44	3	118	151	107	68
ENSB:88FQtcrkzDdXbsf	Chromosome	195474	195986	+	513	3	3	0	9	5	3	8
ENSB:XOPGNbnQow5aX6q	Chromosome	196328	197068	+	741	26	3	4	2	11	4	1
ENSB:3ehsKEBVpxfQAoi	Chromosome	197082	198056	+	975	32	13	0	2	7	6	14
ENSB:mIhzcw_1xN2Q3gW	Chromosome	198053	198814	+	762	5	9	9	2	8	2	17
ENSB:Walzuz0xp6WWo3S	Chromosome	198824	199858	+	1035	20	2	18	11	12	5	6
ENSB:iozMGa1nu3PKyMx	Chromosome	200075	200434	+	360	134	25	20	168	134	40	0
ENSB:uC9z-avfjJR_tts	Chromosome	200607	201632	+	1026	56	13	36	22	38	8	2
ENSB:re9FAzs5WW40boh	Chromosome	202018	203268	+	1251	32	10	20	4	2	5	0
ENSB:YVrDRNQU09-jfsD	Chromosome	203715	210890	+	7176	906	253	677	1105	934	927	3882
ENSB:mIHH6beYKyx6oaL	Chromosome	210903	211547	+	645	56	0	20	46	50	20	548
ENSB:W75EbzOIEczOYRs	Chromosome	211875	212369	-	495	1253	34	8	278	417	164	210
ENSB:JfMmUfRJ5dj1FWC	Chromosome	212624	213388	-	765	144	1	8	20	24	3	24
ENSB:zsjLISApkwLlmZu	Chromosome	213404	214645	-	1242	0	6	43	28	14	11	18
ENSB:t60h7jZn1HeXmzv	Chromosome	214657	215691	-	1035	6	4	1	2	2	2	20
ENSB:-h-AEgIcnjy-dN9	Chromosome	215727	216911	-	1185	46	6	36	9	15	14	19
ENSB:KViR3LuhwB84ih1	Chromosome	217164	218519	-	1356	12	3	18	11	0	6	97
ENSB:3Y0fAO3BmKlhFnc	Chromosome	218795	219352	-	558	116	30	112	131	164	121	31
ENSB:8JGP1Byo5eS3uwb	Chromosome	219419	221059	-	1641	1166	100	759	621	819	701	4993
ENSB:ZbaHe_voTMRQ9C9	Chromosome	221333	223378	-	2046	101	28	70	87	26	43	169
ENSB:i9RzM6wvM6jCu6Z	Chromosome	223964	225019	+	1056	48	81	85	217	136	75	385
ENSB:fimVqDt0I5IK5Gv	Chromosome	225019	225915	+	897	28	22	38	72	52	32	326
ENSB:RXQ4gtBr3JuAU7g	Chromosome	225927	227381	+	1455	18	73	188	51	114	19	345
ENSB:ruqYF3K_VNNC71x	Chromosome	227381	228259	+	879	140	141	362	116	226	136	1551
ENSB:PVCVFQ79-5yUHe9	Chromosome	228453	228734	-	282	6	0	0	1	1	1	1
ENSB:LBGZwA4ELBe0BUm	Chromosome	228947	231736	+	2790	27	15	27	12	14	23	23
ENSB:tImVcf3Xrys3Usu	Chromosome	231941	232783	+	843	12	0	34	0	2	2	18
ENSB:_IZNcrPK0cExCWr	Chromosome	232785	233708	+	924	0	0	1	1	0	23	12
ENSB:rQH504d2QqArsqz	Chromosome	233695	234807	+	1113	0	0	0	0	0	13	4
ENSB:6RHGYt8ETKwdtpU	Chromosome	235072	236664	-	1593	103	10	14	71	102	44	133
ENSB:-oBR1pq8LP_fBq5	Chromosome	236666	238099	+	1434	28	3	6	18	28	7	22
ENSB:4ZUPzJjPhlocb4-	Chromosome	238105	239268	+	1164	0	6	0	10	2	0	0
ENSB:YUfA1raXHJZVnVF	Chromosome	239285	241060	+	1776	1	2	9	1	2	7	17
ENSB:npIHVdoTRUje9wc	Chromosome	241098	243104	+	2007	94	14	29	27	33	51	119
ENSB:at6090Te8Lz6ZAQ	Chromosome	243402	244175	-	774	1	5	2	6	6	2	0
ENSB:ieas3Xf6ZZoqciH	Chromosome	244365	244991	-	627	0	10	5	8	20	0	2
ENSB:5aYfWSbqB9b8w2g	Chromosome	245200	245778	+	579	244	2	16	4	68	10	92
ENSB:ewxnSKoBQa1IMBk	Chromosome	246161	247258	+	1098	3	0	6	2	0	0	1
ENSB:yYy7t0qFF2k8tX0	Chromosome	247271	248542	+	1272	28	2	4	6	8	6	65
ENSB:Oj3kKcpJHpjtHgK	Chromosome	248545	249813	+	1269	195	20	81	79	56	38	145
ENSB:w-V6JK0paErDkXD	Chromosome	249815	250654	+	840	122	2	62	25	20	30	187
ENSB:K6vN81SWmSdFqMq	Chromosome	250728	251804	+	1077	19	0	10	17	28	21	132
ENSB:JFGFiP3dPXoQMZN	Chromosome	251829	252869	+	1041	108	21	66	60	52	27	91
ENSB:EWoh_bgoIanK1TF	Chromosome	252924	253892	+	969	87	2	32	48	32	22	268
ENSB:9NLozxwPafOj-vJ	Chromosome	254254	254748	-	495	0	5	13	1	1	1	3
ENSB:YbZDj_AlL-d5uqp	Chromosome	254981	256360	+	1380	3	0	70	5	14	15	24
ENSB:Q9BaaghLzIgXhd1	Chromosome	256719	257477	-	759	0	2	20	2	2	8	18
ENSB:0UM2ShGcbw72uCC	Chromosome	257470	259026	-	1557	4	3	4	5	12	2	41
ENSB:959Z9sqfwC4u6bn	Chromosome	259023	259991	-	969	2	0	15	5	2	5	22
ENSB:Unr3Z9tsC12I80C	Chromosome	260579	262828	+	2250	7273	974	4896	5290	1741	2074	34538
ENSB:3p8qA4_OwyLXiHs	Chromosome	262851	263606	+	756	3103	281	2862	1589	431	626	16478
ENSB:BWNNwsBTcEm8u1I	Chromosome	263942	265705	+	1764	12	0	10	0	6	4	16
ENSB:sB4jf4U8dUoSpmV	Chromosome	265869	266213	-	345	0	11	0	0	1	0	0
ENSB:gSMhWKbuDAmUezI	Chromosome	266403	268232	+	1830	7	9	5	14	1	18	11
ENSB:4nYxWB4su1zxTbN	Chromosome	268835	270019	-	1185	28581	1763	2134	94676	5684	2940	12327
ENSB:tDkCK4Syn9JLLPS	Chromosome	270049	272310	-	2262	16680	629	2314	57178	3174	2139	8583
ENSB:W6Trq4m52u9iQy-	Chromosome	272496	273707	-	1212	5401	207	947	13903	1078	901	2992
ENSB:n3ySwg2hUzJQaVm	Chromosome	273819	275324	-	1506	5032	324	1044	15193	869	1054	6822
ENSB:PdCwOD8kuvltgOp	Chromosome	275350	276912	-	1563	7022	750	1040	36297	3394	2596	10730
ENSB:WvQhFHY0P89nHOn	Chromosome	277281	278510	+	1230	12	6	21	14	22	2	92
ENSB:G1MLmai9vXSCCHy	Chromosome	278824	280299	-	1476	10	8	58	3	11	15	104
ENSB:66uAMe4P_x_aqYP	Chromosome	280497	280853	-	357	4	0	2	0	1	0	29
ENSB:oNt2Q4zaleFLc_x	Chromosome	281010	281183	-	174	5	0	3	8	6	16	34
ENSB:lwaIA52btR9S95E	Chromosome	281209	282354	-	1146	393	46	516	121	240	101	2025
ENSB:hDBK4lAXqD_NU7I	Chromosome	282927	283880	+	954	2881	265	592	3182	1937	667	4467
ENSB:lNaGFepmChhFMri	Chromosome	284200	285729	-	1530	235	5	121	148	91	72	150
ENSB:u8U1EkTALiQ1VtM	Chromosome	286091	287026	+	936	30	8	3	6	2	17	35
ENSB:K-90diKiocE3tlq	Chromosome	287365	289461	+	2097	31	10	4	15	28	9	26
ENSB:ahhJtWN8OFqEgel	Chromosome	289446	289913	+	468	1	0	0	0	0	0	0
ENSB:UpO0t3BJkEsgWZt	Chromosome	289936	290214	+	279	2	2	0	0	0	0	4
ENSB:6w4yC5V1q95QRTN	Chromosome	290441	291700	+	1260	46	10	5	44	61	10	157
ENSB:39tQOP9buw0B70S	Chromosome	291718	292773	+	1056	88	23	0	78	82	3	306
ENSB:5LDqMmVECo2m_6j	Chromosome	292775	292921	+	147	2	3	4	2	2	1	36
ENSB:1gPst_nNiluY2j5	Chromosome	292945	293988	+	1044	193	72	63	374	402	350	905
ENSB:PiZJF9l-mGyN5Yw	Chromosome	294516	295232	+	717	27	6	34	32	18	2	96
ENSB:wIbYbydX2hN81lf	Chromosome	295225	296250	+	1026	64	4	64	23	30	52	426
ENSB:C500kCdUP1Tro42	Chromosome	296272	297966	+	1695	50	26	145	38	29	62	447
ENSB:DONA2nwMUDRC_nV	Chromosome	298394	299563	+	1170	8	0	60	14	0	30	53
ENSB:ofXUEx6-Bp5PoL3	Chromosome	299839	300555	+	717	41	8	86	33	31	22	95
ENSB:0Eisi2nBHFmtU_M	Chromosome	300548	301573	+	1026	114	47	153	154	113	88	336
ENSB:bqhFQKrUJ6QN-UM	Chromosome	301595	303283	+	1689	817	356	1013	688	765	961	2936
ENSB:CKdDG_WSxmDJ9Bs	Chromosome	303316	305040	+	1725	85	144	454	73	198	245	693
ENSB:iM04_-Qybj0BqjG	Chromosome	305180	305854	+	675	1	1	1	0	2	0	6
ENSB:dRTLYj0tV2uwA7Z	Chromosome	306101	307855	+	1755	108	14	72	49	69	26	207
ENSB:PdhY2ggThvZgenX	Chromosome	307858	308598	+	741	0	0	2	4	0	1	10
ENSB:TdSUffZ62X05q_0	Chromosome	308717	309154	+	438	198	18	66	27	113	60	600
ENSB:O8cFsNVn-AOhAka	Chromosome	309147	309848	+	702	243	23	94	19	145	63	777
ENSB:usFmUTWIKrOhoik	Chromosome	309956	310660	-	705	6	4	2	34	10	38	110
ENSB:Ya5ipwYW6zTH-wl	Chromosome	310809	311600	+	792	38	0	1	17	0	59	9
ENSB:FoLyJehw3RcCuk3	Chromosome	311616	313052	+	1437	258	14	327	116	15	355	1498
ENSB:rXwiV-_LHGiwCSe	Chromosome	313486	314247	-	762	257	14	135	47	11	90	454
ENSB:MnxUgviYmg1EM1a	Chromosome	314498	315412	-	915	93	5	35	30	40	76	205
ENSB:XyzNE7fhVfeOaJ2	Chromosome	315440	315844	-	405	31	8	29	18	23	49	71
ENSB:fdG0n57ML9qlZj2	Chromosome	315859	316740	-	882	175	38	104	200	67	110	398
ENSB:jrTTUqt1G1Fz7sJ	Chromosome	316972	317970	-	999	127	0	211	30	7	186	355
ENSB:N1g8x6SJ0_oKofN	Chromosome	318350	318742	+	393	2	0	21	0	0	2	0
ENSB:BNi9Mml81STVcrh	Chromosome	318970	319374	+	405	2	0	0	0	2	11	2
ENSB:qoAsLSBSPJ7DWdj	Chromosome	319415	320791	-	1377	67	3	31	37	33	30	70
ENSB:y-h--_NgOOAkTSO	Chromosome	321025	322017	+	993	50	12	49	152	92	26	85
